,Date,Daily Energy Demand,Date_DateObj,Day
0,04/10/2018,7183786.0,2018-04-10,Tuesday
1,04/11/2018,1961585.0,2018-04-11,Wednesday
2,04/12/2018,6670701.0,2018-04-12,Thursday
3,04/13/2018,6643068.0,2018-04-13,Friday
4,04/14/2018,6183992.0,2018-04-14,Saturday
5,04/15/2018,5926078.0,2018-04-15,Sunday
6,04/16/2018,6619344.0,2018-04-16,Monday
7,04/17/2018,6567013.0,2018-04-17,Tuesday
8,04/18/2018,6739403.0,2018-04-18,Wednesday
9,04/19/2018,6649368.0,2018-04-19,Thursday
10,04/20/2018,6555433.0,2018-04-20,Friday
11,04/21/2018,6189051.0,2018-04-21,Saturday
12,04/22/2018,6132821.0,2018-04-22,Sunday
13,04/23/2018,7037529.0,2018-04-23,Monday
14,04/24/2018,7023228.0,2018-04-24,Tuesday
15,04/25/2018,7033868.0,2018-04-25,Wednesday
16,04/26/2018,6930003.0,2018-04-26,Thursday
17,04/27/2018,6760311.0,2018-04-27,Friday
18,04/28/2018,6146992.0,2018-04-28,Saturday
19,04/29/2018,5918845.0,2018-04-29,Sunday
20,04/30/2018,6728106.0,2018-04-30,Monday
21,05/01/2018,6879399.0,2018-05-01,Tuesday
22,05/02/2018,6896585.0,2018-05-02,Wednesday
23,05/03/2018,6854332.0,2018-05-03,Thursday
24,05/04/2018,7253934.0,2018-05-04,Friday
25,05/05/2018,6837449.0,2018-05-05,Saturday
26,05/06/2018,6471848.0,2018-05-06,Sunday
27,05/07/2018,7171153.0,2018-05-07,Monday
28,05/08/2018,7354820.0,2018-05-08,Tuesday
29,05/09/2018,7375317.0,2018-05-09,Wednesday
30,05/10/2018,7261983.0,2018-05-10,Thursday
31,05/11/2018,7053913.0,2018-05-11,Friday
32,05/12/2018,6482833.0,2018-05-12,Saturday
33,05/13/2018,6050270.0,2018-05-13,Sunday
34,05/14/2018,6828864.0,2018-05-14,Monday
35,05/15/2018,6952528.0,2018-05-15,Tuesday
36,05/16/2018,7017126.0,2018-05-16,Wednesday
37,05/17/2018,6952363.0,2018-05-17,Thursday
38,05/18/2018,7028078.0,2018-05-18,Friday
39,05/19/2018,6547116.0,2018-05-19,Saturday
40,05/20/2018,6231702.0,2018-05-20,Sunday
