,Date,Daily Energy Demand,Date_DateObj,Day
0,08/17/2021,9140771,2021-08-17,Tuesday
1,08/18/2021,8273447,2021-08-18,Wednesday
2,08/19/2021,8273447,2021-08-19,Thursday
3,08/20/2021,8217546,2021-08-20,Friday
4,08/21/2021,8048332,2021-08-21,Saturday
5,08/22/2021,7184709,2021-08-22,Sunday
6,08/23/2021,7770398,2021-08-23,Monday
7,08/24/2021,7770398,2021-08-24,Tuesday
8,08/25/2021,8357847,2021-08-25,Wednesday
9,08/26/2021,8843626,2021-08-26,Thursday
10,08/27/2021,9087498,2021-08-27,Friday
11,08/28/2021,8628135,2021-08-28,Saturday
12,08/29/2021,8334039,2021-08-29,Sunday
13,08/30/2021,8920481,2021-08-30,Monday
14,08/31/2021,8366413,2021-08-31,Tuesday
15,09/01/2021,7856205,2021-09-01,Wednesday
16,09/02/2021,7766553,2021-09-02,Thursday
17,09/03/2021,7893115,2021-09-03,Friday
18,09/04/2021,7716920,2021-09-04,Saturday
19,09/05/2021,7893824,2021-09-05,Sunday
20,09/06/2021,8423836,2021-09-06,Monday
21,09/07/2021,9232733,2021-09-07,Tuesday
22,09/08/2021,9483457,2021-09-08,Wednesday
23,09/09/2021,9654134,2021-09-09,Thursday
24,09/10/2021,9253072,2021-09-10,Friday
25,09/11/2021,8548381,2021-09-11,Saturday
26,09/12/2021,8066428,2021-09-12,Sunday
27,09/13/2021,8582211,2021-09-13,Monday
28,09/14/2021,8363877,2021-09-14,Tuesday
29,09/15/2021,8022789,2021-09-15,Wednesday
30,09/16/2021,7633969,2021-09-16,Thursday
31,09/17/2021,7504581,2021-09-17,Friday
32,09/18/2021,6931262,2021-09-18,Saturday
33,09/19/2021,6574161,2021-09-19,Sunday
34,09/20/2021,7679245,2021-09-20,Monday
35,09/21/2021,8716095,2021-09-21,Tuesday
36,09/22/2021,8937041,2021-09-22,Wednesday
37,09/23/2021,8421369,2021-09-23,Thursday
38,09/24/2021,8045411,2021-09-24,Friday
39,09/25/2021,7253998,2021-09-25,Saturday
40,09/26/2021,6650818,2021-09-26,Sunday
41,09/27/2021,7264452,2021-09-27,Monday
42,09/28/2021,7128519,2021-09-28,Tuesday
43,09/29/2021,7080768,2021-09-29,Wednesday
44,09/30/2021,7386694,2021-09-30,Thursday
45,10/01/2021,7604021,2021-10-01,Friday
46,10/02/2021,7241786,2021-10-02,Saturday
47,10/03/2021,7158570,2021-10-03,Sunday
48,10/04/2021,7778748,2021-10-04,Monday
49,10/05/2021,7617614,2021-10-05,Tuesday
50,10/06/2021,7352667,2021-10-06,Wednesday
51,10/07/2021,7203439,2021-10-07,Thursday
52,10/08/2021,6858281,2021-10-08,Friday
53,10/09/2021,6146559,2021-10-09,Saturday
54,10/10/2021,6047572,2021-10-10,Sunday
55,10/11/2021,6574823,2021-10-11,Monday
56,10/12/2021,6545264,2021-10-12,Tuesday
57,10/13/2021,6694290,2021-10-13,Wednesday
58,10/14/2021,6756268,2021-10-14,Thursday
59,10/15/2021,6922102,2021-10-15,Friday
60,10/16/2021,6447936,2021-10-16,Saturday
61,10/17/2021,6040557,2021-10-17,Sunday
62,10/18/2021,6721374,2021-10-18,Monday
63,10/19/2021,6692985,2021-10-19,Tuesday
64,10/20/2021,6897015,2021-10-20,Wednesday
