,Date,Daily Energy Demand,Max Temp,Station ID,Station Location,Min Temp
0,2018-04-10,7183786.0,79.0,GHCND:USW00023174,Los Angeles International Airport,60.0
1,2018-04-10,7183786.0,85.0,GHCND:USW00023188,San Diego Airport,60.0
2,2018-04-10,7183786.0,63.0,GHCND:USW00023272,San Francisco Downtown,52.0
3,2018-04-10,7183786.0,86.0,GHCND:USW00093193,FRESNO YOSEMITE INTERNATIONAL,59.0
4,2018-04-10,7183786.0,68.0,GHCND:USW00093225,SACRAMENTO METROPOLITAN AIRPORT,51.0
5,2018-04-10,7183786.0,69.0,GHCND:USW00023293,San Jose,52.0
6,2018-04-10,7183786.0,72.0,GHCND:USW00003102,Ontario Airport,51.0
7,2018-04-11,1961585.0,74.0,GHCND:USW00023174,Los Angeles International Airport,57.0
8,2018-04-11,1961585.0,73.0,GHCND:USW00023188,San Diego Airport,60.0
9,2018-04-11,1961585.0,60.0,GHCND:USW00023272,San Francisco Downtown,49.0
10,2018-04-11,1961585.0,75.0,GHCND:USW00093193,FRESNO YOSEMITE INTERNATIONAL,51.0
11,2018-04-11,1961585.0,62.0,GHCND:USW00093225,SACRAMENTO METROPOLITAN AIRPORT,44.0
12,2018-04-11,1961585.0,68.0,GHCND:USW00023293,San Jose,46.0
13,2018-04-11,1961585.0,82.0,GHCND:USW00003102,Ontario Airport,46.0
14,2018-04-12,6670701.0,68.0,GHCND:USW00023174,Los Angeles International Airport,55.0
15,2018-04-12,6670701.0,67.0,GHCND:USW00023188,San Diego Airport,59.0
16,2018-04-12,6670701.0,57.0,GHCND:USW00023272,San Francisco Downtown,48.0
17,2018-04-12,6670701.0,65.0,GHCND:USW00093193,FRESNO YOSEMITE INTERNATIONAL,47.0
18,2018-04-12,6670701.0,63.0,GHCND:USW00093225,SACRAMENTO METROPOLITAN AIRPORT,35.0
19,2018-04-12,6670701.0,62.0,GHCND:USW00023293,San Jose,47.0
20,2018-04-12,6670701.0,87.0,GHCND:USW00003102,Ontario Airport,51.0
21,2018-04-13,6643068.0,78.0,GHCND:USW00023174,Los Angeles International Airport,59.0
22,2018-04-13,6643068.0,74.0,GHCND:USW00023188,San Diego Airport,55.0
23,2018-04-13,6643068.0,63.0,GHCND:USW00023272,San Francisco Downtown,49.0
24,2018-04-13,6643068.0,71.0,GHCND:USW00093193,FRESNO YOSEMITE INTERNATIONAL,44.0
25,2018-04-13,6643068.0,72.0,GHCND:USW00093225,SACRAMENTO METROPOLITAN AIRPORT,40.0
26,2018-04-13,6643068.0,70.0,GHCND:USW00023293,San Jose,45.0
27,2018-04-13,6643068.0,82.0,GHCND:USW00003102,Ontario Airport,54.0
28,2018-04-14,6183992.0,82.0,GHCND:USW00023174,Los Angeles International Airport,55.0
29,2018-04-14,6183992.0,82.0,GHCND:USW00023188,San Diego Airport,57.0
30,2018-04-14,6183992.0,68.0,GHCND:USW00023272,San Francisco Downtown,52.0
31,2018-04-14,6183992.0,81.0,GHCND:USW00093193,FRESNO YOSEMITE INTERNATIONAL,48.0
32,2018-04-14,6183992.0,76.0,GHCND:USW00093225,SACRAMENTO METROPOLITAN AIRPORT,49.0
33,2018-04-14,6183992.0,77.0,GHCND:USW00023293,San Jose,48.0
34,2018-04-14,6183992.0,66.0,GHCND:USW00003102,Ontario Airport,48.0
35,2018-04-15,5926078.0,72.0,GHCND:USW00023174,Los Angeles International Airport,54.0
